Year,Trillion Miles
1971,1.12817
1972,1.2009
1973,1.27686
1974,1.30051
1975,1.29783
1976,1.34142
1977,1.41304
1978,1.4754
1979,1.55536
1980,1.52893
1981,1.52287
1982,1.54172
1983,1.60648
1984,1.65786
1985,1.72025
1986,1.7878
1987,1.85763
1988,1.93904
1989,2.04144
1990,2.11772
1991,2.14158
1992,2.18883
1993,2.25382
1994,2.29794
1995,2.38672
1996,2.41791
1997,2.49625
1998,2.57033
1999,2.62639
2000,2.6971
2001,2.75478
2002,2.8085
2003,2.85427
2004,2.90417
2005,2.97267
2006,2.99942
2007,3.01298
2008,3.03122
2009,2.9642
2010,2.94506
2011,2.97305
2012,2.95887
2013,2.96807
2014,2.98342
2015,3.03601
2016,3.10734
2017,3.18323
2018,3.21352